scheme_slug,scheme_name,question,answer
fcscgsssixssy,Free Cycles to SC Girl Students Studying in Standard IX (Sarasvati Sadhna Yojana),What is the Sarasvati Sadhna Yojana?,The Sarasvati Sadhna Yojana is a scheme aimed at providing free cycles to scheduled caste girl students studying in Standard IX in Gujarat.
fcscgsssixssy,Free Cycles to SC Girl Students Studying in Standard IX (Sarasvati Sadhna Yojana),Who administers the scheme?,"The scheme is administered by the Directorate of Scheduled Caste Welfare, Department of Social Justice & Empowerment, Government of Gujarat."
fcssos,"Free Coaching for SCs, OBCs and beneficiaries of PM CARES Children Scheme",How is the scheme monitored and coordinated?,"The Ministry, in association with DAF, monitors the scheme by obtaining periodic reports from Central Universities and conducting physical verifications."
fcssos,"Free Coaching for SCs, OBCs and beneficiaries of PM CARES Children Scheme",An you elaborate on the establishment of the Online Learning Management System?,DAF is responsible for establishing an Online Learning Management System for knowledge sharing and coordination among different Central Universities.
fcsv,Foster Care Scheme (Vatsalaya),How Are The Records Of Each Foster Care Case Maintained?,"The Child Care Coordinator maintains individual case files for each foster care case, which include school progress reports, medical investigations, and evaluation reports of the placement."
fcsv,Foster Care Scheme (Vatsalaya),How Can A Biological Family Or Legal Guardian Receive Financial Help For The Care Of Their Child After Restoration?,"If the biological family or legal guardian requires financial assistance for the care of their child after restoration, they may be referred for assistance under the Sponsorship Scheme."
fctuk,Free Computer Training,Who is eligible for this scheme?,"Ex-servicemen, serving soldiers, their widows, and dependents who are residents of Uttarakhand and have passed the 12th standard are eligible."
fctuk,Free Computer Training,What training courses are available under this scheme?,The scheme offers training in: | - Diploma in Computer Applications and Programming (1 year) | - Diploma in Professional Accounting (1 year) | - Web Designing and Development (1 year) | - Digital Marketing (1 year)
fdbcsc,Free Distribution of Blankets and Chappals to Senior Citizen,How often can a beneficiary avail of the benefits?,A beneficiary is entitled to receive one blanket and one pair of chappals every year.
fdbcsc,Free Distribution of Blankets and Chappals to Senior Citizen,Can a person below 60 years receive benefits under this scheme?,"No, the applicant must be 60 years or above to qualify for the scheme."
fdd,Flower Development (Demonstration),What is the objective of this scheme?,"The ""Flower Development (Demonstration)"" scheme is a program to promote flower cultivation among farmers through field demonstrations."
fdd,Flower Development (Demonstration),Which department implements this scheme?,"The scheme is implemented by the Horticulture and Food Processing Department, Government of Madhya Pradesh."
fdotbts,Free Distribution of Text Books to Students,What is the Free Distribution of Textbooks to Students Scheme?,It is a scheme that provides free textbooks to students of classes 9th to 12th studying in government schools in Madhya Pradesh.
fdotbts,Free Distribution of Text Books to Students,When was the scheme launched?,The scheme was launched on 01-01-2008.
fdrdap,Free Distribution of Rice to Differently Abled Persons,"How can I track the status of my application for the ""Free Distribution of Rice to Differently Abled Persons"" scheme?",Visit https://edistrict.py.gov.in/User/TrackApplication.aspx to track your application.
fdrdap,Free Distribution of Rice to Differently Abled Persons,What are the primary benefits provided under this scheme for differently abled individuals?,Beneficiaries receive either 15 Kgs of rice monthly or an equivalent amount through Direct Benefit Transfer (DBT).
fds,Fruit Development Scheme,What is the key objective of the scheme?,To make available to the farmers good quality planting materials in convergence mode and sale at subsidised rates.
fds,Fruit Development Scheme,Which department has launched this scheme?,"Department of Agriculture & Farmers' Welfare, Government of Meghalaya has launched this scheme."
fdsgpgp,"Fodder Development Scheme For Gram Panchayat, Gaushala And Panjarpol Having Gauchar Land","What is the primary aim of the ""Fodder Development Scheme For Gram Panchayat, Gaushala And Panjarpol Having Gauchar Land""?",The main objective of the scheme is to develop fodder and pasture land in gauchar areas to address fodder scarcity and improve land fertility.
fdsgpgp,"Fodder Development Scheme For Gram Panchayat, Gaushala And Panjarpol Having Gauchar Land",Who are the entities eligible to benefit from this fodder development scheme?,"Village Panchayats having land for gauchar, as well as Gaushalas and Panjarapols registered under the Public Charity Act that also possess land for gauchar, are eligible to apply for this scheme."
feed-the-seed,Feed The Seed,What is the Feed the Seed program in Telangana?,The Feed the Seed program in Telangana is a government-led initiative aimed at promoting sustainable farming practices by providing farmers with high-quality seeds and training on the latest farming techniques.
feed-the-seed,Feed The Seed,Who is eligible to participate in the program?,"Farmers with livestock farming are eligible for seed production. | In order to provide livestock seeds, farmers have to his own land or lease land or public places to increase agricultural land with animal farming.. | Cattle, buffalo, cows, and sheep Farmers have the right to take grass seeds. | Gra"
feftcwwb,Funeral Expenses for the Construction Workers,What is the age requirement for registration as a beneficiary under the Building and Other Construction Workers Welfare Board of West Bengal?,The building worker must be at least 18 years old and not older than 60 years old.
feftcwwb,Funeral Expenses for the Construction Workers,Is there a minimum service requirement to register as a beneficiary?,"Yes, the building worker must have completed 90 days of service as a building worker in the preceding 12 months."
feotteuyobcamc,Free Employment Oriented Training to Educated Unemployed Youth of Backward Class and Minority Class,What is the objective of the scheme?,The scheme aims to provide quality pre-examination training and free coaching for employment-oriented competitive exams to economically weak youth from backward and minority classes in Madhya Pradesh.
feotteuyobcamc,Free Employment Oriented Training to Educated Unemployed Youth of Backward Class and Minority Class,Who can apply for this scheme?,Economically weak young men and women belonging to backward and minority classes in Madhya Pradesh preparing for competitive exams can apply.
ferts,"Fish Extension, Research, and Training Scheme",Can fish farmers from rural areas apply for the scheme?,"Yes, preference is given to applicants from rural and underdeveloped areas, making it easier for rural fish farmers to apply."
ferts,"Fish Extension, Research, and Training Scheme",What kind of financial support is available under this scheme?,"The scheme provides financial support for training, infrastructure development, research projects, and technical consultations, disbursed either as grants or reimbursements."
fes,Free Education Scheme,"What is the objective of the ""Free Education Scheme"" scheme?","The scheme provides financial support to Backward, Most Backward Classes, and Denotified Communities students pursuing 3-year undergraduate courses (B.A., B.Sc., B.Com.) in Government and Government Aided Arts and Science Colleges."
fes,Free Education Scheme,Who is eligible for the Free Education Scheme?,"Students belonging to the Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC) who are enrolled in 3-year undergraduate courses at Government or Government Aided Arts and Science Colleges."
